,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Qualifiers
0,ADSGn.DE,20151001,06:50:00.114,2,Auction,,72.9,475,,,,,
1,ADSGn.DE,20151001,06:50:00.194,2,Auction,,72.9,565,,,,,
2,ADSGn.DE,20151001,06:50:00.254,2,Auction,,72.21,565,,,,,
3,ADSGn.DE,20151001,06:50:02.233,2,Auction,,72.9,859,,,,,
4,ADSGn.DE,20151001,06:50:05.033,2,Auction,,72.84,859,,,,,
5,ADSGn.DE,20151001,06:50:06.363,2,Auction,,72.84,866,,,,,
6,ADSGn.DE,20151001,06:50:06.893,2,Auction,,72.01,1192,,,,,
7,ADSGn.DE,20151001,06:50:06.924,2,Auction,,72.01,1274,,,,,
8,ADSGn.DE,20151001,06:50:09.973,2,Auction,,72.01,1913,,,,,
9,ADSGn.DE,20151001,06:50:10.004,2,Auction,,72,2011,,,,,
10,ADSGn.DE,20151001,06:50:10.023,2,Auction,,72,2035,,,,,
11,ADSGn.DE,20151001,06:50:10.043,2,Auction,,72.01,2065,,,,,
12,ADSGn.DE,20151001,06:50:10.063,2,Auction,,72.01,2073,,,,,
13,ADSGn.DE,20151001,06:50:10.393,2,Auction,,72.01,2076,,,,,
14,ADSGn.DE,20151001,06:50:14.323,2,Auction,,71.99,2685,,,,,
15,ADSGn.DE,20151001,06:50:14.343,2,Auction,,71.99,2838,,,,,
16,ADSGn.DE,20151001,06:50:20.563,2,Auction,,71.99,2878,,,,,
17,ADSGn.DE,20151001,06:50:20.603,2,Auction,,71.99,2888,,,,,
18,ADSGn.DE,20151001,06:50:30.053,2,Auction,,71.99,3279,,,,,
19,ADSGn.DE,20151001,06:50:30.192,2,Auction,,71.99,3376,,,,,
20,ADSGn.DE,20151001,06:50:31.042,2,Auction,,72,3376,,,,,
21,ADSGn.DE,20151001,06:50:31.042,2,Auction,,72,3443,,,,,
22,ADSGn.DE,20151001,06:50:31.073,2,Auction,,72,3460,,,,,
23,ADSGn.DE,20151001,06:50:35.942,2,Auction,,71.99,4099,,,,,
24,ADSGn.DE,20151001,06:50:35.963,2,Auction,,71.99,4259,,,,,
25,ADSGn.DE,20151001,06:50:37.062,2,Auction,,71.99,4285,,,,,
26,ADSGn.DE,20151001,06:50:37.133,2,Auction,,71.99,4291,,,,,
27,ADSGn.DE,20151001,06:52:33.029,2,Auction,,71.04,4866,,,,,
28,ADSGn.DE,20151001,06:53:06.528,2,Auction,,71.5,5045,,,,,
29,ADSGn.DE,20151001,06:53:06.568,2,Auction,,71.5,5090,,,,,
30,ADSGn.DE,20151001,06:53:27.128,2,Auction,,71.5,5729,,,,,
31,ADSGn.DE,20151001,06:53:27.168,2,Auction,,71.04,5866,,,,,
32,ADSGn.DE,20151001,06:53:31.968,2,Auction,,71.5,5884,,,,,
33,ADSGn.DE,20151001,06:53:31.987,2,Auction,,71.5,5889,,,,,
34,ADSGn.DE,20151001,06:54:31.805,2,Auction,,71.5,6528,,,,,
35,ADSGn.DE,20151001,06:54:31.836,2,Auction,,71.5,6688,,,,,
36,ADSGn.DE,20151001,06:54:38.355,2,Auction,,71.5,6049,,,,,
37,ADSGn.DE,20151001,06:54:38.375,2,Auction,,71.5,5921,,,,,
38,ADSGn.DE,20151001,06:54:38.405,2,Auction,,71.5,5895,,,,,
39,ADSGn.DE,20151001,06:54:38.425,2,Auction,,71.5,5890,,,,,
40,ADSGn.DE,20151001,06:54:38.475,2,Auction,,71.5,5889,,,,,
41,ADSGn.DE,20151001,06:55:00.245,2,Auction,,71.5,6127,,,,,
42,ADSGn.DE,20151001,06:55:00.264,2,Auction,,71.5,6186,,,,,
43,ADSGn.DE,20151001,06:55:40.033,2,Auction,,71.5,6219,,,,,
44,ADSGn.DE,20151001,06:55:40.053,2,Auction,,71.5,6228,,,,,
45,ADSGn.DE,20151001,06:55:57.822,2,Auction,,71.99,6228,,,,,
46,ADSGn.DE,20151001,06:56:01.772,2,Auction,,71.5,6867,,,,,
47,ADSGn.DE,20151001,06:56:01.812,2,Auction,,71.5,7026,,,,,
48,ADSGn.DE,20151001,06:56:21.472,2,Auction,,71.55,7026,,,,,
49,ADSGn.DE,20151001,06:56:21.472,2,Auction,,71.76,7026,,,,,
50,ADSGn.DE,20151001,06:56:21.472,2,Auction,,71.99,7026,,,,,
51,ADSGn.DE,20151001,06:56:46.042,2,Auction,,72,7026,,,,,
